,number_of_reviews,price_range,ratingValue,name,street,city,state,zipcode
153,446,7.5,4.1,monsoon seattle,615 19th Avenue,Seattle,WA,98112
154,265,5.0,4.0,st. clouds,1131 34th Avenue,Seattle,WA,98122
155,892,7.5,4.2,5 spot,1502 Queen Anne Avenue,Seattle,WA,98109
156,1770,2.5,4.0,purple café and wine bar,1225 4th,Seattle,WA,98101
157,417,45.0,3.5,menara moroccan ,41 E Gish Road ,San Jose,CA,95112
158,2795,2.5,4.7,cafe habana,17 Prince St,New York,NY,10012
159,1194,0.0,4.6,titaya’s thai cuisine,5501 N Lamar Blvd Suite,Austin,TX,78751
160,336,2.5,2.8,porter ale house & gastropub,3715 S 1st St Suite,Austin,TX,78704
161,195,7.5,4.7,niko’s gyros,2231 32nd Avenue,Seattle,WA,98199
162,664,2.5,4.1,bizzarro italian café,1307 North 46th,Seattle,WA,98103
163,280,2.5,4.1,circa,2605 California Ave,Seattle,WA,98116
164,709,5.0,3.7,petra mediterranean bistro,2501 4th,Seattle,WA,98121
165,388,1.5,3.4,bistro tupaz,5899 Santa Teresa Blvd,San Jose,CA,95123
166,517,5.0,3.8,walton's fancy and staple,609 W 6th,Austin,TX,78701
167,596,0.0,3.5,the farmer's union,151 West Santa Clara St,San Jose,CA,95113
168,392,2.5,3.6,mai thai ,207 San Jacinto Blvd,201,TX,78701
169,423,5.0,3.4,olive and june,3411 Glenview,Austin,TX,78703
170,553,0.0,4.0,lecōsho,89 University,Seattle,WA,98101
171,287,7.5,3.5,the london plane,300 Occidental Avenue,Seattle,WA,98104
172,330,2.5,3.4,king noodle,615 South King,Seattle,WA,98104
173,303,0.0,3.7,mezcaleria oaxaca,2123 Queen Anne Avenue,Seattle,WA,98109
174,279,7.5,4.5,porkchop & co.,5451 Leary Avenue,Seattle,WA,98107
175,293,5.0,3.1,itadakimasu,4743 Brooklyn Avenue,Seattle,WA,98105
176,404,5.5,4.2,la foret,21747 Bertram Road,San Jose,CA,95120
177,254,7.5,3.1,winebelly,519 W Oltorf,Austin,TX,78704
178,316,2.5,3.7,andiamo ristorante,2521 Rutland,Austin,TX,78758
179,691,0.0,3.6,kau kau barbeque market,656 South King,Seattle,WA,98104
180,180,5.0,3.9,pair,5501 30th Avenue,Seattle,WA,98105
181,608,7.5,4.3,fonda san miguel ,2330 W North Loop,Austin,TX,78756
182,541,0.0,4.4,evangeline café,8106 Brodie,Austin,TX,78745
183,661,7.5,2.9,le bon de cuisine,5592 Santa Teresa Blvd,San Jose,CA,95123
184,1081,0.0,4.5,adrienne’s pizzabar,54 Stone St,New York,NY,10004
185,570,7.5,3.8,staple & fancy mercantile,4739 Ballard Avenue,Seattle,WA,98107
186,345,5.0,3.9,kauai family ,6324 6th Avenue,Seattle,WA,98108
187,996,2.5,3.8,palisade,2601 West Marina,Seattle,WA,98199
188,2748,6.5,3.7,yard house,300 Santana Row Suite 101,San Jose,CA,95128
189,368,7.5,4.5,inka chicken,1707 Wells Branch,Austin,TX,78728
190,1046,5.0,3.5,hula hut,3825 Lake Austin,Austin,TX,78703
191,451,0.0,3.9,fabi + rosi,509 Hearn,Austin,TX,78703
192,528,7.5,3.6,the backspace,507 San Jacinto,Austin,TX,78701
193,1279,0.0,4.0,lamberts downtown barbecue,401 W 2nd,Austin,TX,78701
194,913,7.5,4.0,maneki ,304 6th Avenue,Seattle,WA,98104
195,1224,2.5,4.5,l’artusi,228 West 10th St,New York,NY,10014
196,1079,0.0,4.0,jack’s wife freda,224 Lafayette St,New York,NY,10012
197,3010,5.0,4.9,buddakan,75 9th Avenue,New York,NY,10011
198,3010,5.0,4.9,buddakan,75 9th Avenue,New York,NY,10011
199,979,7.5,4.1,888 pan asian ,2400 E Oltorf St Suite,Austin,TX,78741
200,382,2.5,4.0,la traviata,314 Congress,Austin,TX,78701
201,411,5.0,4.0,apothecary cafe and wine bar,4800 Burnet Road Suite,Austin,TX,78756
202,286,5.0,3.2,italic,123 W 6th,Austin,TX,78701
203,329,5.0,3.4,dai due,2406 Manor Road Suite,Austin,TX,78722
204,294,7.5,3.2,garbo’s,14735 Bratton,Austin,TX,78728
205,269,2.5,3.7,thalassa ,179 Franklin St,New York,NY,10013
206,613,0.0,4.4,frankies 457 - brooklyn,457 Court,Brooklyn,NY,11231
207,1628,7.5,3.7,saigon shack,114 MacDougal St,New York,NY,10012
208,202,0.0,3.7,bing’s,4200 East Madison,Seattle,WA,98112
209,267,7.5,3.2,the gerald,5210 Ballard Avenue,Seattle,WA,98107
210,138,2.5,3.5,the blue glass,704 NW 65th,Seattle,WA,98117
211,884,0.0,4.0,gombei japanese ,193 Jackson St,San Jose,CA,95112
212,531,1.5,3.2,kyusu burmese cuisine,1312 Saratoga Avenue,San Jose,CA,95129
213,738,0.0,3.8,harry’s hofbrau,390 Saratoga Avenue,San Jose,CA,95129
214,1721,5.5,4.5,uchi,801 S Lamar,Austin,TX,78704
215,839,0.0,4.0,justine’s brasserie,4710 E 5th,Austin,TX,78702
216,1040,7.5,4.2,tamarind tree,1036 South Jackson St Suite,Seattle,WA,98104
217,2681,5.0,4.9,home slice pizza,1415 S Congress,Austin,TX,78704
218,355,5.0,4.1,the grove wine bar & kitchen,6317 Bee Caves,Austin,TX,78746
219,806,5.0,4.4,eastside cafe,2113 Manor,Austin,TX,78722
220,824,7.5,3.4,fuji sushi,56 W Santa Clara St,San Jose,CA,95113
221,3614,2.5,4.9,falafel’s drive-in,2301 Stevens Creek Blvd,San Jose,CA,95128
222,492,0.0,3.8,tomato thyme-willow glen,1560 Hamilton Avenue,San Jose,CA,95125
223,103,5.0,4.0,el ranchon,3416 West McGraw,Seattle,WA,98199
224,948,7.5,4.0,poppy,622 Broadway,Seattle,WA,98102
225,295,2.5,4.0,new sam kee ,1942 Aborn Road,San Jose,CA,95121
226,330,2.5,3.7,71 saint peter,71 N San Pedro St,San Jose,CA,95110
227,2368,0.0,4.1,jacob’s pickles,509 Amsterdam Avenue,New York,NY,10024
228,807,5.0,4.1,habana outpost,757 Fulton,Brooklyn,NY,11217
229,2165,5.0,4.3,pies 'n' thighs,166 S 4th,Brooklyn,NY,11211
230,723,0.0,3.9,the grill on the alley,172 S Market St,San Jose,CA,95113
231,305,1.5,3.6,erawan thai cuisine,5945 South San Jose Expressway South San Jose,San Jose,CA,95120
232,1651,5.0,4.2,freemans,8 Rivington St,New York,NY,10002
233,1963,7.5,4.5,fette sau,354 Metropolitan,Brooklyn,NY,11211
234,1249,5.0,4.2,five leaves,18 Bedford,Brooklyn,NY,11222
235,673,12.5,3.8,wink,1014 N Lamar Blvd,E,TX,78703
236,402,5.0,3.6,abel’s on the lake,3825 Lake Austin,Austin,TX,78703
237,1343,0.0,4.1,banger’s sausage house & beer garden,79 & 81 Rainey,Austin,TX,78701
238,1078,2.5,3.8,arcadia,100 W San Carlos St,San Jose,CA,95113
239,402,0.0,3.5,gojo ethiopian ,1261 W San Carlos St,San Jose,CA,95126
240,455,0.0,3.6,pestle rock isan thai cuisine,2305 NW Market,Seattle,WA,98107
241,576,5.0,4.0,mamnoon,1508 Melrose,Seattle,WA,98122
242,888,2.5,3.6,ba bar,550 12th,Seattle,WA,98122
243,660,0.0,3.8,kona kitchen,8501 5th Avenue,Seattle,WA,98115
244,637,2.5,4.0,tango restaurant & lounge,1100 Pike,Seattle,WA,98101
245,551,0.0,4.0,cactus restaurants,2820 Alki Avenue,Seattle,WA,98116
246,189,2.5,3.9,hilltop ale house,2129 Queen Anne Avenue,Seattle,WA,98109
247,441,7.5,4.1,mojito,7545 Lake City Way,Seattle,WA,98115
248,419,0.0,4.0,zocalo café,1110 W Lynn,Austin,TX,78703
249,862,5.0,3.8,momiji,1522 12th,Seattle,WA,98122
250,438,5.0,4.5,santorini cafe,11800 N Lamar,Austin,TX,78753
251,168,7.5,3.4,mongers market and kitchen,2401 E Cesar Chavez,Austin,TX,78702
252,741,2.5,3.6,the jackalope,404 E 6th,Austin,TX,78701
253,126,7.5,3.4,lavaca teppan,1712 Lavaca,Austin,TX,78701
254,637,5.0,3.7,black star co-op pub & brewery,7020 Easy Wind Drive Suite,Austin,TX,78752
255,352,2.5,3.6,golden house chinese ,7108 Santa Teresa Blvd,San Jose,CA,95139
256,160,0.0,3.4,great wall chinese ,1409 Bird Avenue,San Jose,CA,95125
257,481,7.5,4.0,lk tea & grill,2780 Aborn Road,San Jose,CA,95121
258,602,7.5,4.6,buddha ruksa,3520 SW Genesee,Seattle,WA,98126
259,543,2.5,3.6,pike place chowder,Pacific Place Level 4 600 Pine,Seattle,WA,98101
260,52,2.5,3.4,little uncle,1509 E Madison,Seattle,WA,98122
261,564,0.0,4.0,island soul ,4869 Rainier Avenue,Seattle,WA,98118
262,1520,5.0,4.1,cookshop,156 10th Avenue,New York,NY,10011
263,133,5.0,3.1,chen z,6705 US W Hwy 290 Suite,Austin,TX,78735
264,421,2.5,3.1,caffe frascati,315 S First St,San Jose,CA,95113
265,1943,5.0,3.6,pho kim long ,2082 North Capitol Avenue,San Jose,CA,95132
266,837,7.5,3.8,turf n surf po’ boy,405 Lavaca,Austin,TX,78701
267,334,2.5,3.4,jacoby’s restaurant & mercantile,3235 E Cesar Chavez,Austin,TX,78702
268,1422,7.5,4.5,bouldin creek cafe,1900 S 1st,Austin,TX,78704
269,887,20.5,3.8,el gaucho,Inn At El Gaucho 2505 1st,Seattle,WA,98121
270,703,5.0,3.7,fogón cocina mexicana,600 East Pine,Seattle,WA,98122
271,224,2.5,3.5,ten mercer,10 West Mercer,Seattle,WA,98109
272,669,0.0,3.9,smith,332 15th Avenue,Seattle,WA,98112
273,880,5.0,3.9,coppelia,207 Between 7th & 8th Avenue W 14th St,New York,NY,10011
274,392,6.5,3.8,hunan taste ,998 North 4th St,San Jose,CA,95112
275,213,0.0,3.5,la pastaia kitchen + bar,233 W Santa Clara St,San Jose,CA,95113
276,922,0.0,4.5,walia ethiopian cuisine,2208 Business Circle,San Jose,CA,95128
277,488,2.5,3.6,el alma cafe y cantina,1025 Barton Springs,Austin,TX,78704
278,1051,7.5,3.9,en japanese brasserie,435 Hudson St,New York,NY,10014
