number_of_reviews,price_range,ratingValue,name,address
72 reviews,$130,4.5,ABC Kitchen,"35 E 18th Street, New York, NY 10003"
90 reviews,$150,4.3,Tao,"42 E 58th Street, New York, NY 10022"
114 reviews,$150,4.6,Le Bernardin,"155 W 51st Street, New York, NY 10019"
70 reviews,$250,4.3,Nobu,"105 Hudson Street, New York, NY 10013"
82 reviews,$75,4.3,Cafeteria,"119 7th Avenue, New York, NY 10011"
102 reviews,$500,4.4,Per Se,"Time Warner Center, 10 Columbus Circle, 4th Floor, New York, NY 10019"
108 reviews,$150,4.1,Babbo,"110 Waverly Place, New York, NY 10011"
76 reviews,$40,4.4,Veselka,"144 2nd Avenue, New York, NY 10003"
97 reviews,$120,4.0,Bagatelle,"1 Little W 12th Street, New York, NY 10014"
74 reviews,$30,4.4,Joe's Shanghai,"9 Pell Street, New York, NY 10013"
85 reviews,$35,4.8,Pommes Frites,"128 Macdougal Street, New York, NY 10012"
79 reviews,$40,4.5,Dinosaur Bar-B-Que,"700 W 125th Street, New York, NY 10027"
114 reviews,$85,4.8,Five Napkin Burger,"630 9th Avenue, New York, NY 10036"
71 reviews,$140,4.4,Les Halles Park Avenue,"411 Park Avenue South, New York, NY 10016"
76 reviews,$25,4.8,S'Mac,"345 E 12th Street, New York, NY 10003"
130 reviews,$50,4.4,Momofuku Ssm Bar,"207 2nd Avenue, New York, NY 10003"
86 reviews,$35,4.5,Dominique Ansel Bakery,"189 Spring Street, New York, NY 10012"
65 reviews,$110,4.5,Becco,"355 W 46th Street, Theater District, NY 10036"
92 reviews,$60,4.3,Otto Enoteca & Pizzeria,"5th Avenue 8th Street, New York, NY 10003"
70 reviews,$70,4.4,Blue Smoke,"116 E 27th Street, New York, NY 10016"
62 reviews,$50,4.5,Sea Restaurant,"114 N 6th Street, Brooklyn, NY 11249"
34 reviews,$350,4.2,Bouley,"163 Duane Street, New York, NY 10013"
29 reviews,$120,4.2,Blue Ribbon Brasserie,"97 Sullivan Street, New York, NY 10012"
68 reviews,$25,4.5,Rice To Riches,"37 Spring Street, New York, NY 10012"
61 reviews,$100,4.3,Ayza Wine & Chocolate Bar,"11 West 31st Street, New York, NY 10016"
86 reviews,$15,4.2,Magnolia Bakery,"401 Bleecker Street, New York, NY 10014"
60 reviews,$40,4.6,Amy Ruth's,"113 W 116th Street, New York, NY 10026"
69 reviews,$20,4.4,Gray's Papaya,"2090 Broadway, New York, NY 10023"
43 reviews,$80,4.3,Rosa Mexicano,"61 Columbus Avenue, New York, NY 10023"
53 reviews,$15,4.3,Doughnut Plant,"220 Between 7th & 8th Avenue, W 23rd Street, New York, NY 10011"
71 reviews,$45,4.7,Caf Habana,"17 Prince Street, New York, NY 10012"
67 reviews,$50,4.2,Grand Central Oyster Bar & Restaurant,"Grand Central Terminal, 89 E 42nd Street, New York, NY 10017"
112 reviews,$15,4.4,Momofuku Milk Bar,"251 East 13th Street, New York, NY 10003"
80 reviews,$120,4.3,Morimoto,"88 10th Avenue, New York, NY 10011"
29 reviews,$35,4.0,Great N.Y. Noodletown,"28 Bowery, New York, NY 10013"
49 reviews,$220,4.4,Del Frisco's Double Eagle Steakhouse,"1221 6th Avenue, NY 10020"
51 reviews,$30,4.6,Caracas Arepa Bar,"93 East 7th Street, New York, NY 10009"
444 reviews,$30,4.9,Katz's Delicatessen,"205 East Houston Street, New York, NY 10002"
261 reviews,$50,4.9,Lombardi's Pizza,"32 Spring Street, New York, NY 10012"
120 reviews,$45,4.6,Junior's,"1515 Broadway, New York, NY 10036"
218 reviews,$70,4.7,Momofuku Noodle Bar,"171 1st Avenue, New York, NY 10003"
165 reviews,$25,4.7,Burger Joint,"Le Parker Meridien Hotel, 119 W 56th Street, New York, NY 10019"
170 reviews,$70,4.6,The Spotted Pig,"314 W 11th Street, New York, NY 10014"
65 reviews,$330,4.1,Daniel,"60 E 65th Street, Upper East Side, NY 10065"
134 reviews,$125,4.9,Buddakan,"75 9th Avenue, New York, NY 10011"
100 reviews,$15,4.7,Doughnut Plant,"379 Grand Street, New York, NY 10002"
153 reviews,$75,4.3,Serendipity 3,"225 E 60th Street, New York, NY 10022"
130 reviews,$25,4.6,The Halal Guys,"6th Avenue & W 53rd Street, New York, NY 10019"
186 reviews,$50,4.5,Grimaldi's Pizzeria,"1 Front Street, Brooklyn, NY 11201"
100 reviews,$70,4.6,Max Brenner,"841 Broadway, New York, NY 10003"
174 reviews,$30,4.9,Shake Shack,"691 8th Avenue, New York, NY 10036"
124 reviews,$600,4.7,Eleven Madison Park,"11 Madison Avenue, New York, NY 10010"
163 reviews,$150,4.6,Peter Luger Steak House,"178 Broadway, Brooklyn, NY 11211"
95 reviews,$160,4.4,Gramercy Tavern,"42 E 20th Street, NY 10003"
212 reviews,$140,4.5,Balthazar,"80 Spring Street, New York, NY 10012"
167 reviews,$40,4.8,Ippudo,"65 4th Avenue, New York, NY 10003"
125 reviews,$100,4.6,Carmine's,"200 W 44th Street, New York, NY 10036"
76 reviews,$50,4.2,Virgil's Real Barbecue,"152 W 44th Street, New York, NY 10036"
82 reviews,$300,4.3,Jean-Georges,"1 Central Park West, New York, NY 10023"
133 reviews,$40,4.5,John's Pizza of Times Square,"260 W 44th Street, New York, NY 10036"
72 reviews,$130,4.5,ABC Kitchen,"35 E 18th Street, New York, NY 10003"
90 reviews,$150,4.3,Tao,"42 E 58th Street, New York, NY 10022"
114 reviews,$150,4.6,Le Bernardin,"155 W 51st Street, New York, NY 10019"
70 reviews,$250,4.3,Nobu,"105 Hudson Street, New York, NY 10013"
82 reviews,$75,4.3,Cafeteria,"119 7th Avenue, New York, NY 10011"
102 reviews,$500,4.4,Per Se,"Time Warner Center, 10 Columbus Circle, 4th Floor, New York, NY 10019"
108 reviews,$150,4.1,Babbo,"110 Waverly Place, New York, NY 10011"
77 reviews,$55,4.0,Matt's in the Market,"Pike Place Market, 94 Pike Street, Seattle, WA 98101"
117 reviews,$20,4.4,Red Mill Burgers,"312 North 67th Street, Seattle, WA 98103"
