_id,ltable_ID,rtable_ID,ltable_name,ltable_address,ltable_ratingValue,ltable_price_range,ltable_number_of_reviews,rtable_name,rtable_address,rtable_ratingValue,rtable_price_range,rtable_number_of_reviews
68,113,2025,hom korean kitchen,76 E Santa Clara St San Jose CA 95113,4.0,$5,361,muchos,72 E Santa Clara St San Jose CA 95113,3.3,$25,3
69,113,2568,hom korean kitchen,76 E Santa Clara St San Jose CA 95113,4.0,$5,361,bakery mexico,87 E Santa Clara St San Jose CA 95113,3.1,$20,1
70,113,3090,hom korean kitchen,76 E Santa Clara St San Jose CA 95113,4.0,$5,361,dive bar,78 E Santa Clara St San Jose CA 95113,-,$25,1
71,119,149,los tacos no.1,75 9th Ave New York NY 10011,4.5,$5,1466,buddakan,75 9th Avenue New York NY 10011,4.9,$125,134
72,119,209,los tacos no.1,75 9th Ave New York NY 10011,4.5,$5,1466,buddakan,75 9th Avenue New York NY 10011,4.9,$125,134
73,119,932,los tacos no.1,75 9th Ave New York NY 10011,4.5,$5,1466,los tacos no. 1,Chelsea Market 75 9th Avenue New York NY 10011,4.0,$25,22
74,119,2691,los tacos no.1,75 9th Ave New York NY 10011,4.5,$5,1466,amy's bread,75 9th Avenue New York NY 10011,4.0,$20,16
75,123,3242,breakroom,83 Baxter St New York NY 10013,4.5,$5,1098,forlini's ,93 Baxter St New York NY 10013,4.5,$105,20
76,129,651,thai villa,5 E 19th St New York NY 10003,4.5,$20,306,craft,43 E 19th St New York NY 10003,4.2,$140,34
77,129,1248,thai villa,5 E 19th St New York NY 10003,4.5,$20,306,abc cocina,38 E 19th St New York NY 10003,3.9,$80,24
78,131,158,gramercy tavern,42 E 20th St New York NY 10003,4.5,$91,2137,gramercy tavern,42 E 20th St NY 10003,4.4,$160,95
79,131,218,gramercy tavern,42 E 20th St New York NY 10003,4.5,$91,2137,gramercy tavern,42 E 20th St NY 10003,4.4,$160,95
80,135,308,reserve a table,410 Saratoga Ave San Jose CA 95129,4.0,$91,721,le papillon,410 Saratoga Avenue  San Jose CA 95129,3.9,$50,6
81,139,106,reserve a table,1110 Willow St San Jose CA 95125,4.0,$20,1725,bill's cafe,1115 Willow St San Jose CA 95125,3.9,$30,4
82,139,414,reserve a table,1110 Willow St San Jose CA 95125,4.0,$20,1725,the table,1110 Willow St San Jose CA 95125,3.7,$85,6
83,140,313,smoking pig bbq,1144 N 4th St San Jose CA 95112,4.0,$20,2136,smoking pig bbq company,1144 North 4th St San Jose CA 95112,3.8,$50,10
84,142,363,reserve a table,69 N San Pedro St San Jose CA 95110,4.0,$20,1034,firehouse no.1,69 N San Pedro St San Jose CA 95110,3.5,$30,5
85,145,1773,chan seattle,86 Pine St Seattle WA 98101,4.5,$20,463,chan seattle,Inn At The Market 86 Pine St Seattle WA 98101,3.6,$45,25
86,146,556,tilikum place cafe,407 Cedar St Seattle WA 98121,4.5,$20,1107,tilikum place cafe,407 Cedar St Seattle WA 98121,4.5,$75,46
87,146,877,tilikum place cafe,407 Cedar St Seattle WA 98121,4.5,$20,1107,bambino's,401 Cedar St Seattle WA 98121,3.6,$40,40
88,148,551,radiator whiskey,94 Pike St Seattle WA 98101,4.5,$20,780,radiator whiskey,Pike Place Market 94 Pike St Suite 30 WA 98101,3.6,$45,15
89,152,1755,pomodoro,2366 Eastlake Ave E Seattle WA 98102,4.5,$20,224,pomodoro,2366 Eastlake Avenue E Eastlake/Lake Union Seattle WA 98102,3.6,$70,18
90,154,60,paseo caribbean food - fremont,4225 Fremont Ave N Seattle WA 98103,4.5,$5,4285,paseo,4225 Fremont Avenue N Seattle WA 98103,4.9,$25,181
91,156,27,pike place chowder,1530 Post Aly Seattle WA 98101,4.5,$20,4397,pike place chowder,Pike Place Market 1530 Post Alley Seattle WA 98101,4.5,$25,129
92,156,579,pike place chowder,1530 Post Aly Seattle WA 98101,4.5,$20,4397,rachel's ginger beer,1530 Post Alley Seattle WA 98101,3.8,$15,24
93,156,1391,pike place chowder,1530 Post Aly Seattle WA 98101,4.5,$20,4397,pike place chowder,Pacific Place Level 4 600 Pine St Seattle WA 98101,3.6,$25,28
94,158,717,manolin,3621 Stone Way N Seattle WA 98103,4.5,$20,229,roro bbq & grill,3620 Stone Way N Seattle WA 98103,4.1,$40,28
95,158,3209,manolin,3621 Stone Way N Seattle WA 98103,4.5,$20,229,manolin,3621 Stone Way North WA 98103,3.3,$50,5
96,163,43,roaring fork,701 Congress Ave Austin TX 78701,4.0,$20,716,roaring fork - intercontinental,701 Congress Avenue Austin TX 78701,4.2,$80,38
97,165,843,swift’s attic,315 Congress Ave Austin TX 78701,4.0,$20,746,swift's attic,315  Second Floor Congress Avenue Austin TX 78701,3.4,$70,24
98,167,116,franklin barbecue,900 E 11th St Austin TX 78702,4.5,$20,3172,franklin barbecue,900 East 11th St Austin TX 78702,4.6,$35,126
99,168,3080,stella san jac,310 E 5th St Austin TX 78701,4.5,$20,237,stella san jac,The Westin 310 E 5th St Austin TX 78701,3.0,$70,8
100,169,128,"truluck’s seafood, steak and crab house",400 Colorado St Austin TX 78701,4.5,$45,497,frank,407 Colorado St Austin TX 78701,4.0,$35,59
101,169,434,"truluck’s seafood, steak and crab house",400 Colorado St Austin TX 78701,4.5,$45,497,truluck's,400 Colorado St Austin TX 78701,3.8,$200,31
102,169,837,"truluck’s seafood, steak and crab house",400 Colorado St Austin TX 78701,4.5,$45,497,sullivan's steakhouse,300 Colorado St Austin TX 78701,3.6,$150,21
103,169,1892,"truluck’s seafood, steak and crab house",400 Colorado St Austin TX 78701,4.5,$45,497,tenoak,409 Colorado St Austin TX 78701,3.0,$35,14
104,170,47,uchiko,4200 N Lamar Blvd Austin TX 78756,4.5,$91,1320,uchiko,4200 N Lamar Blvd Suite 140 TX 78756,4.1,$70,56
105,172,114,odd duck,1201 S Lamar Blvd Austin TX 78704,4.5,$45,982,uchi,801 S Lamar Blvd Austin TX 78704,4.5,$60,87
106,172,347,odd duck,1201 S Lamar Blvd Austin TX 78704,4.5,$45,982,odd duck,1201 S Lamar Blvd Austin TX 78704,3.7,$65,25
107,172,2748,odd duck,1201 S Lamar Blvd Austin TX 78704,4.5,$45,982,broken spoke,3201 S Lamar Blvd Austin TX 78704,3.1,$50,6
108,173,117,moonshine patio bar & grill,303 Red River St Austin TX 78701,4.0,$20,2378,moonshine patio bar & grill,303 Red River St Austin TX 78701,4.7,$60,136
109,174,516,hey!... you gonna eat or what?,1720 Barton Springs Rd Austin TX 78704,4.5,$5,624,the mighty cone,1720 Barton Springs Road Austin TX 78704,4.1,$25,23
110,174,2199,hey!... you gonna eat or what?,1720 Barton Springs Rd Austin TX 78704,4.5,$5,624,hey!... you gonna eat or what?,1720 Barton Springs Road Austin TX 78704,3.5,$25,12
111,179,457,salty sow,1917 Manor Rd Austin TX 78722,4.5,$20,1569,salty sow,1917 Manor Road Austin TX 78722,3.8,$90,25
112,181,2166,paper plane,72 S 1st St San Jose CA 95113,4.0,$20,782,paper plane,72 South 1st St San Jose CA 95113,2.7,$45,1
113,183,977,kali noodles and tea bar,374 E Santa Clara St San Jose CA 95113,4.5,$20,71,curry pundits,30 E Santa Clara St San Jose CA 95113,-,$40,1
114,183,1673,kali noodles and tea bar,374 E Santa Clara St San Jose CA 95113,4.5,$20,71,new tung kee noodle house,264 E Santa Clara St San Jose CA 95113,3.2,$45,2
115,183,2068,kali noodles and tea bar,374 E Santa Clara St San Jose CA 95113,4.5,$20,71,nick's,354 E Santa Clara St San Jose CA 95113,2.9,$13,1
116,186,604,back a yard,80 N Market St San Jose CA 95113,4.0,$20,1337,back a yard,80 North Market St San Jose CA 95113,3.1,$13,2
117,187,371,our house,185 Park Ave San Jose CA 95113,4.5,$20,136,scott's seafood,185 Park Avenue San Jose CA 95113,3.5,$13,4
118,191,1369,contigo,2027 Anchor Ln Austin TX 78723,4.0,$20,628,contigo,2027 Anchor Lane Austin TX 78723,3.8,$75,21
